transaction_id,product_name,category,price,quantity,revenue,customer_region,sale_date,customer_rating
TX1001,MacBook Pro M3 16-inch,Electronics,2499.00,3,7497.00,North America,2024-01-15,4.9
TX1002,Sony WH-1000XM5 Headphones,Audio,399.99,5,1999.95,Europe,2024-01-18,4.8
TX1003,Ergonomic Standing Desk,Furniture,650.00,2,1300.00,Asia-Pacific,2024-01-20,4.6
TX1004,Dell UltraSharp 4K Monitor,Electronics,720.00,4,2880.00,North America,2024-01-22,4.7
TX1005,Mechanical Gaming Keyboard,Accessories,150.00,8,1200.00,Latin America,2024-01-25,4.5
TX1006,Logitech MX Master 3S Mouse,Accessories,99.99,12,1199.88,Europe,2024-01-28,4.9
TX1007,Herman Miller Aeron Chair,Furniture,1250.00,2,2500.00,North America,2024-02-02,5.0
TX1008,Apple iPad Air M2,Electronics,599.00,6,3594.00,Asia-Pacific,2024-02-05,4.8
TX1009,Bose QuietComfort Earbuds,Audio,279.00,7,1953.00,Europe,2024-02-08,4.7
TX1010,LG OLED 42-inch Display,Electronics,899.99,3,2699.97,North America,2024-02-12,4.8
TX1011,Anker 100W USB-C Charger,Accessories,65.00,15,975.00,Asia-Pacific,2024-02-15,4.6
TX1012,Steelcase Gesture Desk Chair,Furniture,1100.00,3,3300.00,Europe,2024-02-18,4.9
TX1013,MacBook Pro M3 16-inch,Electronics,2499.00,2,4998.00,Latin America,2024-02-22,5.0
TX1014,Samsung Galaxy Tab S9,Electronics,799.99,4,3199.96,North America,2024-02-26,4.7
TX1015,Sony WH-1000XM5 Headphones,Audio,399.99,6,2399.94,North America,2024-03-01,4.9
TX1016,Razer BlackWidow V4,Accessories,180.00,5,900.00,Asia-Pacific,2024-03-04,4.4
TX1017,Audio-Technica AT2020 Mic,Audio,149.00,8,1192.00,Europe,2024-03-08,4.7
TX1018,Ergonomic Standing Desk,Furniture,650.00,4,2600.00,North America,2024-03-12,4.5
TX1019,Dell UltraSharp 4K Monitor,Electronics,720.00,5,3600.00,Asia-Pacific,2024-03-15,4.8
TX1020,Apple AirPods Pro Gen 2,Audio,249.00,10,2490.00,North America,2024-03-18,4.9
TX1021,Logitech MX Master 3S Mouse,Accessories,99.99,14,1399.86,Latin America,2024-03-22,4.8
TX1022,Herman Miller Aeron Chair,Furniture,1250.00,1,1250.00,Europe,2024-03-25,5.0
TX1023,MacBook Pro M3 16-inch,Electronics,2499.00,4,9996.00,Asia-Pacific,2024-03-28,4.9
TX1024,Samsung T7 Shield SSD 2TB,Storage,189.99,11,2089.89,North America,2024-04-02,4.8
TX1025,SanDisk Extreme Pro 1TB,Storage,129.99,16,2079.84,Europe,2024-04-05,4.7
TX1026,Sony WH-1000XM5 Headphones,Audio,399.99,4,1599.96,Latin America,2024-04-09,4.8
TX1027,LG OLED 42-inch Display,Electronics,899.99,2,1799.98,Europe,2024-04-12,4.9
TX1028,Bose QuietComfort Earbuds,Audio,279.00,5,1395.00,North America,2024-04-16,4.6
TX1029,Steelcase Gesture Desk Chair,Furniture,1100.00,2,2200.00,Asia-Pacific,2024-04-20,4.8
TX1030,Apple iPad Air M2,Electronics,599.00,7,4193.00,Europe,2024-04-24,4.9
